BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11211,6015344,11211.dat,"Brick, Modified 1 x 2 with Studs on 1 Side ",86,71,Light Bluish Gray,Solid Colors,1,0.86
11291,6388353,11291.dat,Wedge 3 x 4 x 2/3 Curved with Cutout,86,71,Light Bluish Gray,Solid Colors,2,
15068,6102357,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,4,0.57
15068,6105976,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",5,4,Red,Solid Colors,5,0.57
15068,6053077,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",11,0,Black,Solid Colors,1,0.57
15573,6092585,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",11,0,Black,Solid Colors,4,0.3
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,3,0.2
20482,6186675,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",11,0,Black,Solid Colors,4,0.16
2357,235726,2357.dat,Brick 2 x 2 Corner,11,0,Black,Solid Colors,2,1.25
23969,6248496,23969.dat,Panel 1 x 2 x 1 with Rounded Corners and 2 Sides,11,0,Black,Solid Colors,2,0.65
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,2,0.54
2420,4211353,2420.dat,Plate 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,2,0.54
2420,242021,2420.dat,Plate 2 x 2 Corner,5,4,Red,Solid Colors,2,0.54
24201,6186398,24201.dat,"Slope, Curved 2 x 1 x 2/3 Inverted ",5,4,Red,Solid Colors,2,0.36
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,1,0.1
24299,6141552,24299.dat,"Wedge, Plate 2 x 2  Left ",5,4,Red,Solid Colors,3,0.44
